combination_name,combination,n_benchmarks,n_models,runtime_sec,top_model,top_score
creative_writing_bt_prob_math_bt_prob,"('creative_writing_bt_prob', 'math_bt_prob')",2,52,2.1383,gemini-2.5-pro,8.6593
creative_writing_bt_prob_instruction_following_bt_prob,"('creative_writing_bt_prob', 'instruction_following_bt_prob')",2,52,2.0978,gemini-2.5-pro-preview-03,35.0132
creative_writing_bt_prob_coding_bt_prob,"('creative_writing_bt_prob', 'coding_bt_prob')",2,52,2.0561,gemini-2.5-pro,9.2168
creative_writing_bt_prob_hard_prompt_bt_prob,"('creative_writing_bt_prob', 'hard_prompt_bt_prob')",2,52,2.1673,gemini-2.5-pro,34.3241
creative_writing_bt_prob_longer_query_bt_prob,"('creative_writing_bt_prob', 'longer_query_bt_prob')",2,52,3.2394,gemini-2.5-pro,7.8404
creative_writing_bt_prob_multi_turn_bt_prob,"('creative_writing_bt_prob', 'multi_turn_bt_prob')",2,52,1.9647,gemini-2.5-pro,10.1861
math_bt_prob_instruction_following_bt_prob,"('math_bt_prob', 'instruction_following_bt_prob')",2,52,1.9756,gemini-2.5-pro,14.1161
math_bt_prob_coding_bt_prob,"('math_bt_prob', 'coding_bt_prob')",2,52,2.0159,gemini-2.5-pro,35.3505
math_bt_prob_hard_prompt_bt_prob,"('math_bt_prob', 'hard_prompt_bt_prob')",2,52,2.0265,gemini-2.5-pro,35.3505
math_bt_prob_longer_query_bt_prob,"('math_bt_prob', 'longer_query_bt_prob')",2,52,2.0511,gemini-2.5-pro,8.031
math_bt_prob_multi_turn_bt_prob,"('math_bt_prob', 'multi_turn_bt_prob')",2,52,1.9833,gemini-2.5-pro,12.1944
instruction_following_bt_prob_coding_bt_prob,"('instruction_following_bt_prob', 'coding_bt_prob')",2,52,2.0039,gemini-2.5-pro,16.788
instruction_following_bt_prob_hard_prompt_bt_prob,"('instruction_following_bt_prob', 'hard_prompt_bt_prob')",2,52,2.0753,gemini-2.5-pro,34.3191
instruction_following_bt_prob_longer_query_bt_prob,"('instruction_following_bt_prob', 'longer_query_bt_prob')",2,52,5.1008,gemini-2.5-pro,12.9574
instruction_following_bt_prob_multi_turn_bt_prob,"('instruction_following_bt_prob', 'multi_turn_bt_prob')",2,52,3.5267,gemini-2.5-pro,16.7377
coding_bt_prob_hard_prompt_bt_prob,"('coding_bt_prob', 'hard_prompt_bt_prob')",2,52,2.7458,gemini-2.5-pro,35.3505
coding_bt_prob_longer_query_bt_prob,"('coding_bt_prob', 'longer_query_bt_prob')",2,52,4.2263,gemini-2.5-pro,10.5149
coding_bt_prob_multi_turn_bt_prob,"('coding_bt_prob', 'multi_turn_bt_prob')",2,52,2.4654,gemini-2.5-pro,33.2635
hard_prompt_bt_prob_longer_query_bt_prob,"('hard_prompt_bt_prob', 'longer_query_bt_prob')",2,52,2.6461,gemini-2.5-pro,9.121
hard_prompt_bt_prob_multi_turn_bt_prob,"('hard_prompt_bt_prob', 'multi_turn_bt_prob')",2,52,1.9359,gemini-2.5-pro,32.6449
longer_query_bt_prob_multi_turn_bt_prob,"('longer_query_bt_prob', 'multi_turn_bt_prob')",2,52,2.0335,gemini-2.5-pro,11.9774
creative_writing_bt_prob_math_bt_prob_instruction_following_bt_prob,"('creative_writing_bt_prob', 'math_bt_prob', 'instruction_following_bt_prob')",3,52,4.7281,gemini-2.5-pro-preview-03,9.1987
creative_writing_bt_prob_math_bt_prob_coding_bt_prob,"('creative_writing_bt_prob', 'math_bt_prob', 'coding_bt_prob')",3,52,3.34,gemini-2.5-pro,9.3149
creative_writing_bt_prob_math_bt_prob_hard_prompt_bt_prob,"('creative_writing_bt_prob', 'math_bt_prob', 'hard_prompt_bt_prob')",3,52,3.6206,gemini-2.5-pro,10.0262
creative_writing_bt_prob_math_bt_prob_longer_query_bt_prob,"('creative_writing_bt_prob', 'math_bt_prob', 'longer_query_bt_prob')",3,52,2.4621,gemini-2.5-pro,6.7789
creative_writing_bt_prob_math_bt_prob_multi_turn_bt_prob,"('creative_writing_bt_prob', 'math_bt_prob', 'multi_turn_bt_prob')",3,52,2.7074,gemini-2.5-pro,8.042
creative_writing_bt_prob_instruction_following_bt_prob_coding_bt_prob,"('creative_writing_bt_prob', 'instruction_following_bt_prob', 'coding_bt_prob')",3,52,5.9586,gemini-2.5-pro-preview-03,9.7802
creative_writing_bt_prob_instruction_following_bt_prob_hard_prompt_bt_prob,"('creative_writing_bt_prob', 'instruction_following_bt_prob', 'hard_prompt_bt_prob')",3,52,2.4832,gemini-2.5-pro-preview-03,34.5634
creative_writing_bt_prob_instruction_following_bt_prob_longer_query_bt_prob,"('creative_writing_bt_prob', 'instruction_following_bt_prob', 'longer_query_bt_prob')",3,52,2.4937,gemini-2.5-pro,7.8635
creative_writing_bt_prob_instruction_following_bt_prob_multi_turn_bt_prob,"('creative_writing_bt_prob', 'instruction_following_bt_prob', 'multi_turn_bt_prob')",3,52,2.4443,gemini-2.5-pro-preview-03,10.1307
creative_writing_bt_prob_coding_bt_prob_hard_prompt_bt_prob,"('creative_writing_bt_prob', 'coding_bt_prob', 'hard_prompt_bt_prob')",3,52,2.5801,gemini-2.5-pro,10.6492
